"score_source","year","score_value"
"news article sentiment scores","2016",-0.9989
"news article sentiment scores","2016",0.8768
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",0.9507
"news article sentiment scores","2016",-0.6149
"news article sentiment scores","2016",0.9619
"news article sentiment scores","2016",-0.765
"news article sentiment scores","2016",0.9961
"news article sentiment scores","2016",-0.9326
"news article sentiment scores","2016",0.9976
"news article sentiment scores","2016",0.9729
"news article sentiment scores","2016",-0.983
"news article sentiment scores","2016",-0.984
"news article sentiment scores","2016",0.9638
"news article sentiment scores","2016",0.9988
"news article sentiment scores","2016",0.9947
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",0.9127
"news article sentiment scores","2016",0.9976
"news article sentiment scores","2016",0.9856
"news article sentiment scores","2016",-0.9943
"news article sentiment scores","2016",0.9975
"news article sentiment scores","2016",0.9703
"news article sentiment scores","2016",-0.997
"news article sentiment scores","2016",0.977
"news article sentiment scores","2016",0.9996
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",0.9845
"news article sentiment scores","2016",0.9954
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",0.9986
"news article sentiment scores","2016",0.9883
"news article sentiment scores","2016",-0.9863
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.9959
"news article sentiment scores","2016",0.9972
"news article sentiment scores","2016",0.9367
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",0.9979
"news article sentiment scores","2016",0.9986
"news article sentiment scores","2016",0.9729
"news article sentiment scores","2016",0.9958
"news article sentiment scores","2016",0.9757
"news article sentiment scores","2016",-0.9634
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.9724
"news article sentiment scores","2016",0.9153
"news article sentiment scores","2016",0.9487
"news article sentiment scores","2016",0.9762
"news article sentiment scores","2016",-0.9988
"news article sentiment scores","2016",-0.9001
"news article sentiment scores","2016",0.9637
"news article sentiment scores","2016",0.9968
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.0138
"news article sentiment scores","2016",0.9911
"news article sentiment scores","2016",0.9963
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",0.9961
"news article sentiment scores","2016",0.9923
"news article sentiment scores","2016",0.9893
"news article sentiment scores","2016",0.9788
"news article sentiment scores","2016",0.99
"news article sentiment scores","2016",0.8294
"news article sentiment scores","2016",-0.9919
"news article sentiment scores","2016",-0.5023
"news article sentiment scores","2016",0.9519
"news article sentiment scores","2016",0.9974
"news article sentiment scores","2016",0.9977
"news article sentiment scores","2016",0.9984
"news article sentiment scores","2016",-0.9719
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.9392
"news article sentiment scores","2016",0.9429
"news article sentiment scores","2016",-0.9612
"news article sentiment scores","2016",0.9764
"news article sentiment scores","2016",0.9997
"news article sentiment scores","2016",0.9962
"news article sentiment scores","2016",0.9988
"news article sentiment scores","2016",0.9944
"news article sentiment scores","2016",0.9286
"news article sentiment scores","2016",0.9876
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",0.9223
"news article sentiment scores","2016",0.9936
"news article sentiment scores","2016",0.9971
"news article sentiment scores","2016",0.9981
"news article sentiment scores","2016",0.9995
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",-0.9929
"news article sentiment scores","2016",-0.8676
"news article sentiment scores","2016",0.9944
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",0.7509
"news article sentiment scores","2016",0.9998
"news article sentiment scores","2016",-0.9276
"news article sentiment scores","2016",-0.9748
"news article sentiment scores","2016",-0.9926
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",0.9778
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.9935
"news article sentiment scores","2016",-0.9808
"news article sentiment scores","2016",0.9979
"news article sentiment scores","2016",0.9947
"news article sentiment scores","2016",0.965
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",0.9991
"news article sentiment scores","2016",-0.9923
"news article sentiment scores","2016",0.942
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",-0.9987
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",-0.9991
"news article sentiment scores","2016",0.9945
"news article sentiment scores","2016",0.9775
"news article sentiment scores","2016",-0.9984
"news article sentiment scores","2016",0.973
"news article sentiment scores","2016",0.9968
"news article sentiment scores","2016",-0.9819
"news article sentiment scores","2016",0.9991
"news article sentiment scores","2016",0.8974
"news article sentiment scores","2016",0.9966
"news article sentiment scores","2016",-0.3506
"news article sentiment scores","2016",-0.999
"news article sentiment scores","2016",0.9943
"news article sentiment scores","2016",-0.9938
"news article sentiment scores","2016",-0.4221
"news article sentiment scores","2016",0.9729
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",0.9977
"news article sentiment scores","2016",0.9153
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.9714
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",-0.9925
"news article sentiment scores","2016",-0.9913
"news article sentiment scores","2016",-0.9624
"news article sentiment scores","2016",-0.7139
"news article sentiment scores","2016",-0.9865
"news article sentiment scores","2016",0.9965
"news article sentiment scores","2016",-0.988
"news article sentiment scores","2016",0.9949
"news article sentiment scores","2016",0.4276
"news article sentiment scores","2016",0.9995
"news article sentiment scores","2016",0.9798
"news article sentiment scores","2016",0.9973
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.9664
"news article sentiment scores","2016",0.8955
"news article sentiment scores","2016",0.8744
"news article sentiment scores","2016",0.9991
"news article sentiment scores","2016",-0.9996
"news article sentiment scores","2016",0.9964
"news article sentiment scores","2016",0.9966
"news article sentiment scores","2016",0.9984
"news article sentiment scores","2016",-0.9635
"news article sentiment scores","2016",0.9851
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",0.9963
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",0.9995
"news article sentiment scores","2016",0.9689
"news article sentiment scores","2016",0.9979
"news article sentiment scores","2016",0.9795
"news article sentiment scores","2016",0.9955
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",-0.8634
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",0.9996
"news article sentiment scores","2016",0.9921
"news article sentiment scores","2016",0.9887
"news article sentiment scores","2016",0.9437
"news article sentiment scores","2016",0.9997
"news article sentiment scores","2016",-0.9789
"news article sentiment scores","2016",0.9849
"news article sentiment scores","2016",-0.7772
"news article sentiment scores","2016",0.9663
"news article sentiment scores","2016",0.9869
"news article sentiment scores","2016",-0.9907
"news article sentiment scores","2016",-0.9942
"news article sentiment scores","2016",0.9994
"news article sentiment scores","2016",0.9994
"news article sentiment scores","2016",0.9932
"news article sentiment scores","2016",0.9939
"news article sentiment scores","2016",-0.7269
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",-0.997
"news article sentiment scores","2016",0.9954
"news article sentiment scores","2016",0.9983
"news article sentiment scores","2016",0.99
"news article sentiment scores","2016",0.9956
"news article sentiment scores","2016",0.9815
"news article sentiment scores","2016",0.5853
"news article sentiment scores","2016",-0.1779
"news article sentiment scores","2016",-0.9923
"news article sentiment scores","2016",0.9895
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",-0.9991
"news article sentiment scores","2016",0.0571
"news article sentiment scores","2016",0.8922
"news article sentiment scores","2016",-0.9891
"news article sentiment scores","2016",-0.9238
"news article sentiment scores","2016",0.9971
"news article sentiment scores","2016",-0.8223
"news article sentiment scores","2016",-0.2671
