"score_source","year","score_value"
"news article sentiment scores","2016",0.9869
"news article sentiment scores","2016",0.9171
"news article sentiment scores","2016",-0.9992
"news article sentiment scores","2016",0.9977
"news article sentiment scores","2016",-0.9967
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",0.8934
"news article sentiment scores","2016",0.8447
"news article sentiment scores","2016",1
"news article sentiment scores","2016",-0.982
"news article sentiment scores","2016",0.9981
"news article sentiment scores","2016",0.9939
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",0.9756
"news article sentiment scores","2016",0.9951
"news article sentiment scores","2016",1
"news article sentiment scores","2016",0.9783
"news article sentiment scores","2016",-0.9994
"news article sentiment scores","2016",0.965
"news article sentiment scores","2016",-0.9695
"news article sentiment scores","2016",0.7814
"news article sentiment scores","2016",0.1531
"news article sentiment scores","2016",-0.9944
"news article sentiment scores","2016",-0.988
"news article sentiment scores","2016",0.814
"news article sentiment scores","2016",-0.9
"news article sentiment scores","2016",-0.3621
"news article sentiment scores","2016",0.936
"news article sentiment scores","2016",0.9951
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",0.9982
"news article sentiment scores","2016",0.9292
"news article sentiment scores","2016",1
"news article sentiment scores","2016",0.9965
"news article sentiment scores","2016",0.996
"news article sentiment scores","2016",-0.1234
"news article sentiment scores","2016",1
"news article sentiment scores","2016",0.9848
"news article sentiment scores","2016",0.9999
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.9984
"news article sentiment scores","2016",0.997
"news article sentiment scores","2016",0.9991
"news article sentiment scores","2016",0.9911
"news article sentiment scores","2016",-0.4712
"news article sentiment scores","2016",1
"news article sentiment scores","2016",1
"news article sentiment scores","2016",0.9929
"news article sentiment scores","2016",-0.9981
"news article sentiment scores","2016",1
"news article sentiment scores","2016",1
"news article sentiment scores","2016",0.7184
"news article sentiment scores","2016",0.9955
"news article sentiment scores","2016",0.9984
"news article sentiment scores","2016",-0.9524
"news article sentiment scores","2016",0.6365
"news article sentiment scores","2016",-0.9973
"news article sentiment scores","2016",0.9716
"news article sentiment scores","2016",0.9966
"news article sentiment scores","2016",0.5546
"news article sentiment scores","2016",-0.9451
"news article sentiment scores","2016",0.9926
"news article sentiment scores","2016",0.5257
"news article sentiment scores","2016",0.9923
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",-0.9377
"news article sentiment scores","2016",0.9935
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",0.986
"news article sentiment scores","2016",0.974
"news article sentiment scores","2016",-0.997
"news article sentiment scores","2016",0.9599
"news article sentiment scores","2016",0.6424
"news article sentiment scores","2016",0.9674
"news article sentiment scores","2016",-0.8885
"news article sentiment scores","2016",-0.7973
"news article sentiment scores","2016",0.9969
"news article sentiment scores","2016",0.5176
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",0.9971
"news article sentiment scores","2016",0.9531
"news article sentiment scores","2016",-0.8026
"news article sentiment scores","2016",0.9144
"news article sentiment scores","2016",0.9792
"news article sentiment scores","2016",0.974
"news article sentiment scores","2016",0.9977
"news article sentiment scores","2016",0.9821
"news article sentiment scores","2016",-0.9906
"news article sentiment scores","2016",0.9286
"news article sentiment scores","2016",0.3553
"news article sentiment scores","2016",0.8949
"news article sentiment scores","2016",0.8348
"news article sentiment scores","2016",-0.7506
"news article sentiment scores","2016",0.97
"news article sentiment scores","2016",0.9856
"news article sentiment scores","2016",-0.169
"news article sentiment scores","2016",-0.7234
"news article sentiment scores","2016",0.9962
"news article sentiment scores","2016",0.852
"news article sentiment scores","2016",0.9442
"news article sentiment scores","2016",0.926
"news article sentiment scores","2016",0.9802
"news article sentiment scores","2016",0.9787
"news article sentiment scores","2016",0.995
"news article sentiment scores","2016",-0.9948
"news article sentiment scores","2016",0.9916
"news article sentiment scores","2016",0.9831
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",-0.9888
"news article sentiment scores","2016",-0.9953
"news article sentiment scores","2016",-0.9311
"news article sentiment scores","2016",-0.9927
"news article sentiment scores","2016",0.9941
"news article sentiment scores","2016",-0.9939
"news article sentiment scores","2016",0.9958
"news article sentiment scores","2016",0.9962
"news article sentiment scores","2016",0.9928
"news article sentiment scores","2016",-0.9362
"news article sentiment scores","2016",-0.2164
"news article sentiment scores","2016",0.9936
"news article sentiment scores","2016",0.9713
"news article sentiment scores","2016",-0.6815
"news article sentiment scores","2016",0.6428
"news article sentiment scores","2016",0.9604
"news article sentiment scores","2016",-0.9916
"news article sentiment scores","2016",0.9955
"news article sentiment scores","2016",0.9814
"news article sentiment scores","2016",-0.8257
"news article sentiment scores","2016",0.9607
"news article sentiment scores","2016",0.8243
"news article sentiment scores","2016",0.6652
"news article sentiment scores","2016",0.9961
"news article sentiment scores","2016",-0.9999
"news article sentiment scores","2016",0.8149
"news article sentiment scores","2016",1
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",0.601
"news article sentiment scores","2016",0.9975
"news article sentiment scores","2016",0.9981
"news article sentiment scores","2016",-0.9472
"news article sentiment scores","2016",0.9933
"news article sentiment scores","2016",0.0495
"news article sentiment scores","2016",0.9976
"news article sentiment scores","2016",0.9897
"news article sentiment scores","2016",0.9966
"news article sentiment scores","2016",0.992
"news article sentiment scores","2016",0.8658
"news article sentiment scores","2016",0.9107
"news article sentiment scores","2016",0.9997
"news article sentiment scores","2016",-0.956
"news article sentiment scores","2016",-0.9936
"news article sentiment scores","2016",-0.9627
"news article sentiment scores","2016",0.9707
"news article sentiment scores","2016",0.3945
"news article sentiment scores","2016",0.8343
"news article sentiment scores","2016",-0.9773
"news article sentiment scores","2016",0.9907
"news article sentiment scores","2016",-0.9367
"news article sentiment scores","2016",-0.999
"news article sentiment scores","2016",-0.9973
"news article sentiment scores","2016",0.9899
"news article sentiment scores","2016",-0.9954
"news article sentiment scores","2016",0.9365
"news article sentiment scores","2016",-0.9982
"news article sentiment scores","2016",-0.7659
"news article sentiment scores","2016",0.9511
"news article sentiment scores","2016",0.7038
"news article sentiment scores","2016",0.9979
"news article sentiment scores","2016",0.9928
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",0.997
"news article sentiment scores","2016",0.9972
"news article sentiment scores","2016",-0.9993
"news article sentiment scores","2016",-0.995
"news article sentiment scores","2016",0.9915
"news article sentiment scores","2016",0.9976
"news article sentiment scores","2016",0.9732
"news article sentiment scores","2016",0.9813
"news article sentiment scores","2016",-0.9935
"news article sentiment scores","2016",0.9994
"news article sentiment scores","2016",-0.9901
"news article sentiment scores","2016",0.9981
"news article sentiment scores","2016",-0.6525
"news article sentiment scores","2016",0.9755
"news article sentiment scores","2016",0.1879
"news article sentiment scores","2016",-0.8858
"news article sentiment scores","2016",0.9867
"news article sentiment scores","2016",0.9979
"news article sentiment scores","2016",0.9946
"news article sentiment scores","2016",0.9898
"news article sentiment scores","2016",-0.9854
"news article sentiment scores","2016",0.9822
"news article sentiment scores","2016",0.9951
"news article sentiment scores","2016",0.9903
"news article sentiment scores","2016",-0.996
"news article sentiment scores","2016",0.992
"news article sentiment scores","2016",0.9896
"news article sentiment scores","2016",0.9891
"news article sentiment scores","2016",-0.5922
"news article sentiment scores","2016",0.9935
"news article sentiment scores","2016",0.9753
"news article sentiment scores","2016",-0.9844
"news article sentiment scores","2016",0.9761
"news article sentiment scores","2016",-0.9788
"news article sentiment scores","2016",-0.7458
"news article sentiment scores","2016",-0.8782
"news article sentiment scores","2016",0.9857
"news article sentiment scores","2016",0.8743
"news article sentiment scores","2016",0.957
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",0.9852
"news article sentiment scores","2016",0.8653
"news article sentiment scores","2016",0.5747
"news article sentiment scores","2016",0.9991
"news article sentiment scores","2016",0.9962
"news article sentiment scores","2016",0.272
"news article sentiment scores","2016",0.9968
"news article sentiment scores","2016",0.9961
"news article sentiment scores","2016",0.987
"news article sentiment scores","2016",-0.5483
"news article sentiment scores","2016",0.9836
"news article sentiment scores","2016",0.9977
"news article sentiment scores","2016",0.9703
"news article sentiment scores","2016",-0.8023
"news article sentiment scores","2016",0.9965
"news article sentiment scores","2016",0.6674
"news article sentiment scores","2016",-0.9835
"news article sentiment scores","2016",0.9831
"news article sentiment scores","2016",0.9639
"news article sentiment scores","2016",0.8422
"news article sentiment scores","2016",-0.9965
"news article sentiment scores","2016",0.9919
"news article sentiment scores","2016",0.6108
"news article sentiment scores","2016",0.9988
"news article sentiment scores","2016",-0.999
"news article sentiment scores","2016",0.9988
"news article sentiment scores","2016",-0.8289
"news article sentiment scores","2016",0.0454
"news article sentiment scores","2016",0.9967
"news article sentiment scores","2016",0.9994
"news article sentiment scores","2016",0.7371
"news article sentiment scores","2016",-0.9939
"news article sentiment scores","2016",0.5136
"news article sentiment scores","2016",0.9732
"news article sentiment scores","2016",0.9961
"news article sentiment scores","2016",-0.9882
"news article sentiment scores","2016",0.996
"news article sentiment scores","2016",0.9926
"news article sentiment scores","2016",0.6365
"news article sentiment scores","2016",0.9977
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",0.9909
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",0.9957
"news article sentiment scores","2016",0.9724
"news article sentiment scores","2016",0.2365
"news article sentiment scores","2016",0.9821
"news article sentiment scores","2016",0.9974
"news article sentiment scores","2016",-0.9989
"news article sentiment scores","2016",0.9537
"news article sentiment scores","2016",0.9903
"news article sentiment scores","2016",0.9988
"news article sentiment scores","2016",0.995
"news article sentiment scores","2016",0.997
"news article sentiment scores","2016",-0.9966
"news article sentiment scores","2016",0.9959
"news article sentiment scores","2016",-0.6925
"news article sentiment scores","2016",-0.9664
"news article sentiment scores","2016",0.203
"news article sentiment scores","2016",0.908
"news article sentiment scores","2016",0.9904
"news article sentiment scores","2016",0.9878
"news article sentiment scores","2016",0.2006
"news article sentiment scores","2016",0.4588
"news article sentiment scores","2016",-0.9967
"news article sentiment scores","2016",0.9964
"news article sentiment scores","2016",0.8823
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",-0.9624
"news article sentiment scores","2016",0.9862
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.9959
"news article sentiment scores","2016",0.9249
"news article sentiment scores","2016",0.9939
"news article sentiment scores","2016",0.9995
"news article sentiment scores","2016",0.9293
"news article sentiment scores","2016",-0.9968
"news article sentiment scores","2016",-0.9919
"news article sentiment scores","2016",-0.9985
"news article sentiment scores","2016",0.9975
"news article sentiment scores","2016",0.9969
"news article sentiment scores","2016",-0.7055
"news article sentiment scores","2016",0.957
"news article sentiment scores","2016",0.6249
"news article sentiment scores","2016",0.9981
"news article sentiment scores","2016",0.9791
"news article sentiment scores","2016",-0.755
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",0.9664
"news article sentiment scores","2016",-0.9969
"news article sentiment scores","2016",0.7351
"news article sentiment scores","2016",-0.9584
"news article sentiment scores","2016",-0.7475
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",-0.9968
"news article sentiment scores","2016",0.9981
"news article sentiment scores","2016",0.9997
"news article sentiment scores","2016",0.9862
"news article sentiment scores","2016",0.9863
"news article sentiment scores","2016",0.4788
"news article sentiment scores","2016",-0.9839
"news article sentiment scores","2016",-0.944
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",0.9618
"news article sentiment scores","2016",-0.9967
"news article sentiment scores","2016",-0.74
"news article sentiment scores","2016",0.9963
"news article sentiment scores","2016",-0.9886
"news article sentiment scores","2016",-0.999
"news article sentiment scores","2016",0.9933
"news article sentiment scores","2016",0.8983
"news article sentiment scores","2016",0.9581
"news article sentiment scores","2016",0.3276
"news article sentiment scores","2016",0.674
"news article sentiment scores","2016",0.8654
"news article sentiment scores","2016",0.0108
"news article sentiment scores","2016",0.4533
"news article sentiment scores","2016",0.9962
"news article sentiment scores","2016",0.9981
"news article sentiment scores","2016",0.9924
"news article sentiment scores","2016",0.69
"news article sentiment scores","2016",0.9616
"news article sentiment scores","2016",-0.9542
"news article sentiment scores","2016",0.9335
"news article sentiment scores","2016",0.989
"news article sentiment scores","2016",0.99
"news article sentiment scores","2016",-0.9984
"news article sentiment scores","2016",0.9698
"news article sentiment scores","2016",0.9988
"news article sentiment scores","2016",0.9988
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",0.6486
"news article sentiment scores","2016",0.9993
"news article sentiment scores","2016",-0.9985
"news article sentiment scores","2016",-0.9633
"news article sentiment scores","2016",0.9577
"news article sentiment scores","2016",0.4507
"news article sentiment scores","2016",0.9956
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.9972
"news article sentiment scores","2016",-0.9998
"news article sentiment scores","2016",0.9027
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.9946
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",0.9918
"news article sentiment scores","2016",0.743
"news article sentiment scores","2016",0.8224
"news article sentiment scores","2016",-0.9921
"news article sentiment scores","2016",0.9646
"news article sentiment scores","2016",-0.9959
"news article sentiment scores","2016",-0.9961
"news article sentiment scores","2016",0.7628
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",-0.9619
"news article sentiment scores","2016",-0.9283
"news article sentiment scores","2016",-0.9622
"news article sentiment scores","2016",0.9628
"news article sentiment scores","2016",0.996
"news article sentiment scores","2016",-0.9885
"news article sentiment scores","2016",0.7506
"news article sentiment scores","2016",-0.4072
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",0.9894
"news article sentiment scores","2016",0.5574
"news article sentiment scores","2016",-0.9386
"news article sentiment scores","2016",0.9821
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.9634
"news article sentiment scores","2016",-0.999
"news article sentiment scores","2016",0.9942
"news article sentiment scores","2016",0.9986
"news article sentiment scores","2016",0.7722
"news article sentiment scores","2016",0.9916
"news article sentiment scores","2016",-0.9906
"news article sentiment scores","2016",-0.9091
"news article sentiment scores","2016",0.9988
"news article sentiment scores","2016",0.9995
"news article sentiment scores","2016",0.9083
"news article sentiment scores","2016",0.9543
"news article sentiment scores","2016",-0.9702
"news article sentiment scores","2016",-0.9806
"news article sentiment scores","2016",-0.9996
"news article sentiment scores","2016",0.9796
"news article sentiment scores","2016",0.999
"news article sentiment scores","2016",0.9596
"news article sentiment scores","2016",0.9186
"news article sentiment scores","2016",0.9774
"news article sentiment scores","2016",0.9811
"news article sentiment scores","2016",0.9966
"news article sentiment scores","2016",-0.3428
"news article sentiment scores","2016",0.9937
"news article sentiment scores","2016",-0.9926
"news article sentiment scores","2016",0.9943
"news article sentiment scores","2016",-0.9394
"news article sentiment scores","2016",0.9048
"news article sentiment scores","2016",0.9231
"news article sentiment scores","2016",-0.9978
"news article sentiment scores","2016",-0.9992
"news article sentiment scores","2016",-0.9998
"news article sentiment scores","2016",-0.9982
"news article sentiment scores","2016",-0.9813
"news article sentiment scores","2016",-0.9243
"news article sentiment scores","2016",-0.9787
"news article sentiment scores","2016",0.9317
"news article sentiment scores","2016",0.9949
