"score_source","year","score_value"
"news article sentiment scores","2016",-0.9935
"news article sentiment scores","2016",0.9997
"news article sentiment scores","2016",-0.9951
"news article sentiment scores","2016",-0.9919
"news article sentiment scores","2016",0.9815
"news article sentiment scores","2016",0.9979
"news article sentiment scores","2016",0.9853
"news article sentiment scores","2016",-0.673
"news article sentiment scores","2016",-0.9968
"news article sentiment scores","2016",-0.9955
"news article sentiment scores","2016",-0.9992
"news article sentiment scores","2016",0.9954
"news article sentiment scores","2016",-0.9947
"news article sentiment scores","2016",0.9947
"news article sentiment scores","2016",0.9385
"news article sentiment scores","2016",0.9934
"news article sentiment scores","2016",0.9633
"news article sentiment scores","2016",0.995
"news article sentiment scores","2016",-0.9984
"news article sentiment scores","2016",0.998
"news article sentiment scores","2016",0.8328
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",0.9996
"news article sentiment scores","2016",0.9983
"news article sentiment scores","2016",0.8936
"news article sentiment scores","2016",0.996
"news article sentiment scores","2016",0.9955
"news article sentiment scores","2016",0.8157
"news article sentiment scores","2016",0.9727
"news article sentiment scores","2016",0.9932
"news article sentiment scores","2016",0.9989
"news article sentiment scores","2016",-0.9896
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",0.9658
"news article sentiment scores","2016",0.9994
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",1
"news article sentiment scores","2016",0.9062
"news article sentiment scores","2016",-0.9955
"news article sentiment scores","2016",0.9169
"news article sentiment scores","2016",-0.8677
"news article sentiment scores","2016",0.9999
"news article sentiment scores","2016",1
"news article sentiment scores","2016",-0.9996
"news article sentiment scores","2016",0.9631
"news article sentiment scores","2016",-0.3346
"news article sentiment scores","2016",-0.8636
"news article sentiment scores","2016",0.0174
"news article sentiment scores","2016",-0.985
"news article sentiment scores","2016",0.9921
"news article sentiment scores","2016",-0.9916
"news article sentiment scores","2016",-0.2985
"news article sentiment scores","2016",-0.9918
"news article sentiment scores","2016",-0.9881
"news article sentiment scores","2016",0.9639
"news article sentiment scores","2016",-0.9794
"news article sentiment scores","2016",-0.9958
"news article sentiment scores","2016",0.9984
"news article sentiment scores","2016",0.9898
"news article sentiment scores","2016",-0.9587
"news article sentiment scores","2016",0.1526
"news article sentiment scores","2016",0.5248
"news article sentiment scores","2016",-0.937
"news article sentiment scores","2016",0.9983
"news article sentiment scores","2016",0.9882
"news article sentiment scores","2016",-0.8611
"news article sentiment scores","2016",0.3282
"news article sentiment scores","2016",0.9914
"news article sentiment scores","2016",0.0101
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",-0.6601
