"score_source","year","score_value"
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",0.9113
"news article sentiment scores","2016",0.9985
"news article sentiment scores","2016",-0.9461
"news article sentiment scores","2016",-0.9988
"news article sentiment scores","2016",0.9973
"news article sentiment scores","2016",-0.0272
"news article sentiment scores","2016",0.9777
"news article sentiment scores","2016",0.946
"news article sentiment scores","2016",0.9854
"news article sentiment scores","2016",0.9912
"news article sentiment scores","2016",0.9994
"news article sentiment scores","2016",0.982
"news article sentiment scores","2016",0.9818
"news article sentiment scores","2016",0.9929
"news article sentiment scores","2016",-0.9557
"news article sentiment scores","2016",0.841
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.9974
"news article sentiment scores","2016",0.9433
"news article sentiment scores","2016",-0.9799
"news article sentiment scores","2016",1
"news article sentiment scores","2016",0.9871
"news article sentiment scores","2016",-0.9951
"news article sentiment scores","2016",-0.95
"news article sentiment scores","2016",-0.995
"news article sentiment scores","2016",0.9366
"news article sentiment scores","2016",-1
"news article sentiment scores","2016",0.9899
"news article sentiment scores","2016",-0.9924
"news article sentiment scores","2016",0.0491
"news article sentiment scores","2016",-0.9972
"news article sentiment scores","2016",0.9849
"news article sentiment scores","2016",-0.9672
"news article sentiment scores","2016",0.9872
"news article sentiment scores","2016",0.9915
"news article sentiment scores","2016",0.8453
"news article sentiment scores","2016",0.9698
"news article sentiment scores","2016",-0.9998
"news article sentiment scores","2016",0.9956
"news article sentiment scores","2016",0.9983
"news article sentiment scores","2016",0.9979
"news article sentiment scores","2016",-0.9557
"news article sentiment scores","2016",0.8377
"news article sentiment scores","2016",0.7932
"news article sentiment scores","2016",0.9881
"news article sentiment scores","2016",-0.9924
"news article sentiment scores","2016",0.9859
"news article sentiment scores","2016",0.9961
"news article sentiment scores","2016",0.9992
"news article sentiment scores","2016",0.9489
"news article sentiment scores","2016",-0.7946
"news article sentiment scores","2016",0.9636
"news article sentiment scores","2016",-0.987
"news article sentiment scores","2016",0.9678
"news article sentiment scores","2016",0.9931
"news article sentiment scores","2016",0.9991
"news article sentiment scores","2016",0.9714
"news article sentiment scores","2016",0.9995
"news article sentiment scores","2016",-0.9446
"news article sentiment scores","2016",0.9174
"news article sentiment scores","2016",0.9316
"news article sentiment scores","2016",-0.9434
"news article sentiment scores","2016",0.9036
"news article sentiment scores","2016",0.891
"news article sentiment scores","2016",0.9586
"news article sentiment scores","2016",0.9776
"news article sentiment scores","2016",-0.9957
"news article sentiment scores","2016",-0.9909
"news article sentiment scores","2016",-0.3889
"news article sentiment scores","2016",0.9838
"news article sentiment scores","2016",-0.9902
"news article sentiment scores","2016",0.9984
"news article sentiment scores","2016",-0.8995
"news article sentiment scores","2016",0.9984
"news article sentiment scores","2016",-0.9967
"news article sentiment scores","2016",-0.9885
"news article sentiment scores","2016",0.9171
"news article sentiment scores","2016",0.9854
"news article sentiment scores","2016",0.9987
"news article sentiment scores","2016",0.985
"news article sentiment scores","2016",0.9982
"news article sentiment scores","2016",-0.8379
"news article sentiment scores","2016",0.997
"news article sentiment scores","2016",0.9856
"news article sentiment scores","2016",0.9937
"news article sentiment scores","2016",0.9975
"news article sentiment scores","2016",-0.8662
"news article sentiment scores","2016",0.9964
"news article sentiment scores","2016",0.4305
"news article sentiment scores","2016",0.9939
"news article sentiment scores","2016",0.9806
"news article sentiment scores","2016",0.9962
"news article sentiment scores","2016",0.9962
"news article sentiment scores","2016",0.9878
"news article sentiment scores","2016",-0.9376
"news article sentiment scores","2016",-0.9286
"news article sentiment scores","2016",0.6286
"news article sentiment scores","2016",-0.8441
"news article sentiment scores","2016",0.9873
"news article sentiment scores","2016",0.9912
"news article sentiment scores","2016",-0.9709
"news article sentiment scores","2016",-0.9838
"news article sentiment scores","2016",0.996
"news article sentiment scores","2016",0.997
"news article sentiment scores","2016",0.9832
"news article sentiment scores","2016",0.9103
"news article sentiment scores","2016",0.9996
"news article sentiment scores","2016",0.9964
"news article sentiment scores","2016",0.9806
"news article sentiment scores","2016",-0.9914
