year,office,state,last_name,party,vote_percent,vote_count
2020,Pres,AL,Trump,REP,0.620316431668648,1441170
2020,Pres,AL,Biden,DEM,0.36569990212122333,849624
2020,Pres,AL,Jorgensen,IND,0.010836394376575896,25176
2020,Pres,AK,Trump,REP,0.5283314327038078,189951
2020,Pres,AK,Biden,DEM,0.42771952271020497,153778
2020,Pres,AZ,Biden,DEM,0.49364690614366613,1672143
2020,Pres,AZ,Trump,REP,0.4905598103046474,1661686
2020,Pres,AR,Trump,REP,0.6239572985614432,760647
2020,Pres,AR,Biden,DEM,0.34775061953014963,423932
2020,Pres,AR,West,IND,0.003362401964121801,4099
2020,Pres,AR,Collins,IND,0.002306678293025251,2812
2020,Pres,AR,Pierce,IND,0.0017562582593766227,2141
2020,Pres,AR,Gammon,IND,0.0012099397162916947,1475
2020,Pres,AR,De La Fuente,IND,0.0010836138069297144,1321
2020,Pres,CA,Biden,DEM,0.6348435951907793,11110639
2020,Pres,CA,Trump,REP,0.34320253602858747,6006518
2020,Pres,CO,Biden,DEM,0.553995419069199,1804352
2020,Pres,CO,Trump,REP,0.41897923843560597,1364607
2020,Pres,CT,Biden,DEM,0.5926073151568352,1080831
2020,Pres,CT,Trump,REP,0.3918711828833072,714717
2020,Pres,DE,Biden,DEM,0.5874300579364167,296268
2020,Pres,DE,Trump,REP,0.3977487677110555,200603
2020,Pres,DC,Biden,DEM,0.9214969392140692,317323
2020,Pres,DC,Trump,REP,0.05397321376714795,18586
2020,Pres,DC,La Riva,IND,0.002482895608033547,855
2020,Pres,DC,Pierce,IND,0.002012452229669296,693
2020,Pres,FL,Trump,REP,0.5121981962250404,5668731
2020,Pres,FL,Biden,DEM,0.47861450725442234,5297045
2020,Pres,GA,Biden,DEM,0.49473055784446274,2473633
2020,Pres,GA,Trump,REP,0.492374738997912,2461854
2020,Pres,HI,Biden,DEM,0.6373363923901899,366130
2020,Pres,HI,Trump,REP,0.3426886394217965,196864
2020,Pres,ID,Trump,REP,0.6384344892583999,554119
2020,Pres,ID,Biden,DEM,0.33069449981219773,287021
2020,Pres,ID,West,IND,0.004184649984906686,3632
2020,Pres,ID,Pierce,IND,0.0032352690411943767,2808
2020,Pres,ID,De La Fuente,IND,0.00171787255712992,1491
2020,Pres,IL,Biden,DEM,0.5754163584003564,3471915
2020,Pres,IL,Trump,REP,0.4055344409706477,2446891
2020,Pres,IN,Trump,REP,0.5703057157269031,1729857
2020,Pres,IN,Biden,DEM,0.4096313806165745,1242498
2020,Pres,IA,Trump,REP,0.5308932496920227,897672
2020,Pres,IA,Biden,DEM,0.44891715571442176,759061
2020,Pres,KS,Trump,REP,0.5614365794120173,771406
2020,Pres,KS,Biden,DEM,0.4150864710411897,570323
2020,Pres,KY,Trump,REP,0.6208657186929044,1326646
2020,Pres,KY,Biden,DEM,0.3615151481115404,772474
2020,Pres,KY,West,IND,0.0030340214754245665,6483
2020,Pres,KY,Pierce,IND,0.0016843194956120645,3599
2020,Pres,LA,Trump,REP,0.5846088241400853,1255776
2020,Pres,LA,Biden,DEM,0.39851456801526214,856034
2020,Pres,ME,Biden,DEM,0.5309245955573236,435072
2020,Pres,ME,Trump,REP,0.4402125299434628,360737
2020,Pres,MD,Biden,DEM,0.6536066486007711,1985023
2020,Pres,MD,Trump,REP,0.32150291567748757,976414
2020,Pres,MA,Biden,DEM,0.6560006300596849,2382202
2020,Pres,MA,Trump,REP,0.3214191103050557,1167202
