year,state,population,registered,voted,norm_voter_reg,norm_voter_pop
2020,AL,3769,2527,2247,0.889196675900277,0.5961793579198726
2020,AK,528,383,330,0.8616187989556136,0.625
2020,AZ,5638,3878,3649,0.9409489427539969,0.6472153245831855
2020,AR,2283,1361,1186,0.8714180749448934,0.5194918966272448
2020,CA,30342,18001,16893,0.9384478640075551,0.5567530156219103
2020,CO,4525,2993,2837,0.947878382893418,0.6269613259668508
2020,CT,2777,1850,1681,0.9086486486486487,0.6053294922578322
2020,DE,766,542,489,0.9022140221402214,0.6383812010443864
2020,DC,576,464,448,0.9655172413793104,0.7777777777777778
2020,FL,17244,10495,9720,0.9261553120533588,0.5636743215031316
2020,GA,8032,5233,4888,0.9340722339002484,0.6085657370517928
2020,HI,1056,673,630,0.9361069836552749,0.5965909090909091
2020,ID,1370,900,843,0.9366666666666666,0.6153284671532847
2020,IL,9658,6590,6058,0.9192716236722307,0.6272520190515635
2020,IN,5096,3412,3002,0.8798358733880423,0.5890894819466248
2020,IA,2361,1742,1618,0.928817451205511,0.6853028377806014
2020,KS,2157,1398,1297,0.9277539341917024,0.6012980992118684
2020,KY,3384,2450,2210,0.9020408163265307,0.6530732860520094
2020,LA,3438,2286,2041,0.8928258967629047,0.5936591041303083
2020,ME,1087,832,766,0.9206730769230769,0.7046918123275069
2020,MD,4606,3383,3166,0.9358557493349099,0.6873643074250977
2020,MA,5514,3546,3249,0.916243654822335,0.5892274211099021
2020,MI,7790,5513,4994,0.9058588790132415,0.6410783055198973
2020,MN,4339,3436,3225,0.9385913853317811,0.7432588153952524
2020,MS,2212,1749,1531,0.8753573470554603,0.6921338155515371
2020,MO,4637,3388,2990,0.8825265643447462,0.6448134569764934
2020,MT,836,641,607,0.9469578783151326,0.7260765550239234
2020,NE,1435,971,892,0.9186405767250257,0.621602787456446
2020,NV,2402,1455,1351,0.9285223367697595,0.5624479600333055
2020,NH,1101,843,797,0.9454329774614472,0.7238873751135332
2020,NJ,6801,5008,4638,0.9261182108626198,0.6819585355094839
2020,NM,1610,1028,938,0.9124513618677043,0.5826086956521739
2020,NY,15105,9370,8609,0.9187833511205976,0.5699437272426349
2020,NC,8113,5161,4780,0.9261770974617323,0.5891778626895107
2020,ND,571,429,373,0.8694638694638694,0.6532399299474606
2020,OH,8951,6733,6128,0.9101440665379474,0.6846162439950844
